"id","year","stint","team","lg","g","ab","r","h","X2b","X3b","hr","rbi","sb","cs","bb","so","ibb","hbp","sh","sf","gidp","batting","decade"
"baineha01",1980,1,"CHA","AL",141,491,55,125,23,6,13,49,2,4,19,65,7,1,2,5,15,0.254582484725051,"80s"
"bandosa01",1980,1,"ML4","AL",78,254,28,50,12,1,5,31,5,3,29,35,2,1,3,4,7,0.196850393700787,"80s"
"bannifl01",1980,1,"SEA","AL",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"baylodo01",1980,1,"CAL","AL",90,340,39,85,12,2,5,51,6,6,24,32,4,11,0,5,9,0.25,"80s"
"belanma01",1980,1,"BAL","AL",113,268,37,61,7,3,0,22,6,3,12,25,0,0,11,0,1,0.227611940298507,"80s"
"bellbu01",1980,1,"TEX","AL",129,490,76,161,24,4,17,83,3,1,40,39,11,0,4,0,16,0.328571428571429,"80s"
"beniqju01",1980,1,"SEA","AL",70,237,26,54,10,0,6,21,2,3,17,25,0,0,3,1,10,0.227848101265823,"80s"
"blairpa01",1980,1,"NYA","AL",12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"80s"
"boddimi01",1980,1,"BAL","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"bosleth01",1980,1,"CHA","AL",70,147,12,33,2,0,2,14,3,2,10,27,3,0,4,1,5,0.224489795918367,"80s"
"braunst01",1980,1,"KCA","AL",14,23,0,1,0,0,0,1,0,0,2,2,0,0,0,0,0,0.0434782608695652,"80s"
"braunst01",1980,2,"TOR","AL",37,55,4,15,2,0,1,9,0,0,8,5,1,0,0,0,2,0.272727272727273,"80s"
"brettge01",1980,1,"KCA","AL",117,449,87,175,33,9,24,118,15,6,58,22,16,1,0,7,11,0.389755011135857,"80s"
"brettke01",1980,1,"KCA","AL",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"burgmto01",1980,1,"BOS","AL",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"caldwmi01",1980,1,"ML4","AL",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"campabe01",1980,1,"CAL","AL",77,210,32,53,8,1,2,18,10,5,14,33,0,1,7,2,4,0.252380952380952,"80s"
"campbbi02",1980,1,"BOS","AL",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"cardejo02",1980,2,"KCA","AL",25,53,8,18,2,0,0,5,0,0,5,5,0,0,0,3,0,0.339622641509434,"80s"
"carewro01",1980,1,"CAL","AL",144,540,74,179,34,7,3,59,23,15,59,38,7,1,9,3,15,0.331481481481481,"80s"
"ceronri01",1980,1,"NYA","AL",147,519,70,144,30,4,14,85,1,3,32,56,2,6,8,10,14,0.277456647398844,"80s"
"clancji01",1980,1,"TOR","AL",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"coopece01",1980,1,"ML4","AL",153,622,96,219,33,4,25,122,17,6,39,42,15,2,7,8,16,0.352090032154341,"80s"
"crowlte01",1980,1,"BAL","AL",92,233,33,67,8,0,12,50,0,0,29,21,2,0,2,2,8,0.28755364806867,"80s"
"darwida01",1980,1,"TEX","AL",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"decindo01",1980,1,"BAL","AL",145,489,64,122,23,2,16,64,11,6,49,83,5,3,4,4,20,0.249488752556237,"80s"
"dempsri01",1980,1,"BAL","AL",119,362,51,95,26,3,9,40,3,1,36,45,1,3,4,1,11,0.262430939226519,"80s"
"dilonmi01",1980,1,"CLE","AL",132,528,82,180,30,9,0,40,61,18,28,45,1,2,6,2,7,0.340909090909091,"80s"
"downibr01",1980,1,"CAL","AL",30,93,5,27,6,0,2,25,0,2,12,12,1,0,1,2,5,0.290322580645161,"80s"
"dwyerji01",1980,1,"BOS","AL",93,260,41,74,11,1,9,38,3,2,28,23,5,2,1,1,4,0.284615384615385,"80s"
"eckerde01",1980,1,"BOS","AL",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"evansdw01",1980,1,"BOS","AL",148,463,72,123,37,5,18,60,3,1,64,98,6,5,6,4,5,0.265658747300216,"80s"
"fiskca01",1980,1,"BOS","AL",131,478,73,138,25,3,18,62,11,5,36,62,6,13,0,3,12,0.288702928870293,"80s"
"flanami01",1980,1,"BAL","AL",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"gamblos01",1980,1,"NYA","AL",78,194,40,54,10,2,14,50,2,0,28,21,4,4,0,3,2,0.278350515463918,"80s"
"gantnji01",1980,1,"ML4","AL",132,415,47,117,21,3,4,40,11,10,30,29,5,1,8,3,8,0.281927710843373,"80s"
"gibsoki01",1980,1,"DET","AL",51,175,23,46,2,1,9,16,4,7,10,45,0,1,1,2,0,0.262857142857143,"80s"
"gossari01",1980,1,"NYA","AL",64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"grichbo01",1980,1,"CAL","AL",150,498,60,135,22,2,14,62,3,7,84,108,2,4,5,5,16,0.271084337349398,"80s"
"griffal01",1980,1,"TOR","AL",155,653,63,166,26,15,2,41,18,23,24,58,2,4,10,5,8,0.254211332312404,"80s"
"grubbjo01",1980,1,"TEX","AL",110,274,40,76,12,1,9,32,2,3,42,35,5,2,2,3,11,0.277372262773723,"80s"
"gurala01",1980,1,"KCA","AL",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"harrato01",1980,1,"CLE","AL",160,561,100,150,22,4,11,72,17,2,98,60,3,7,2,7,16,0.267379679144385,"80s"
"harrebu01",1980,1,"TEX","AL",87,180,26,49,6,0,1,9,4,4,29,23,0,0,10,0,3,0.272222222222222,"80s"
"hassero01",1980,1,"CLE","AL",130,390,43,124,18,4,8,65,0,2,49,51,3,1,1,6,13,0.317948717948718,"80s"
"hasslan01",1980,2,"CAL","AL",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"heathmi02",1980,1,"OAK","AL",92,305,27,74,10,2,1,33,3,3,16,28,2,0,7,1,7,0.242622950819672,"80s"
"hebneri01",1980,1,"DET","AL",104,341,48,99,10,7,12,82,0,3,38,45,3,2,2,5,7,0.290322580645161,"80s"
"henderi01",1980,1,"OAK","AL",158,591,111,179,22,4,9,53,100,26,117,54,7,5,6,3,6,0.302876480541455,"80s"
"hillejo01",1980,1,"DET","AL",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"hillma01",1980,2,"SEA","AL",29,70,8,16,2,1,2,9,0,0,3,10,0,0,1,0,3,0.228571428571429,"80s"
"honeyri01",1980,1,"SEA","AL",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"hortowi01",1980,1,"SEA","AL",97,335,32,74,10,1,8,36,0,4,39,70,2,4,2,4,5,0.22089552238806,"80s"
"houghch01",1980,2,"TEX","AL",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"hurstbr01",1980,1,"BOS","AL",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"jacksre01",1980,1,"NYA","AL",143,514,94,154,22,4,41,111,1,2,83,122,15,2,0,2,7,0.299610894941634,"80s"
"jenkife01",1980,1,"TEX","AL",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"johnscl01",1980,1,"CLE","AL",54,174,25,40,3,1,6,28,0,1,25,30,5,0,0,4,8,0.229885057471264,"80s"
"johnto01",1980,1,"NYA","AL",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"kaatji01",1980,1,"NYA","AL",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"kellypa01",1980,1,"BAL","AL",89,200,38,52,10,1,3,26,16,2,34,54,0,0,0,3,4,0.26,"80s"
"kernji01",1980,1,"TEX","AL",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"kisonbr01",1980,1,"CAL","AL",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"koosmje01",1980,1,"MIN","AL",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"lansfca01",1980,1,"CAL","AL",151,602,87,157,27,3,15,80,14,5,50,93,2,0,7,11,12,0.260797342192691,"80s"
"lapoida01",1980,1,"ML4","AL",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"larocda01",1980,1,"CAL","AL",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"lemonch01",1980,1,"CHA","AL",147,514,76,150,32,6,11,51,6,6,71,56,6,12,4,3,12,0.291828793774319,"80s"
"lowenjo01",1980,1,"BAL","AL",104,196,38,61,8,0,4,27,7,3,32,29,1,0,0,3,2,0.311224489795918,"80s"
"lylesp01",1980,1,"TEX","AL",49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"lynnfr01",1980,1,"BOS","AL",110,415,67,125,32,3,12,61,12,0,58,39,3,0,0,5,10,0.301204819277108,"80s"
"marshmi01",1980,1,"MIN","AL",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"martibu01",1980,1,"ML4","AL",76,219,16,49,9,0,3,17,1,0,12,33,0,1,5,1,3,0.223744292237443,"80s"
"martide01",1980,1,"BAL","AL",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"martiti01",1980,1,"BAL","AL",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"maybejo01",1980,1,"TOR","AL",149,501,62,124,19,2,30,82,0,0,77,80,9,3,3,4,9,0.24750499001996,"80s"
"mayle01",1980,1,"BAL","AL",78,222,20,54,10,2,7,31,2,0,15,53,1,0,0,2,11,0.243243243243243,"80s"
"mayru01",1980,1,"NYA","AL",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"mcclubo01",1980,1,"ML4","AL",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"mcraeha01",1980,1,"KCA","AL",124,489,73,145,39,5,14,83,10,2,29,56,4,8,0,6,13,0.296523517382413,"80s"
"milleri01",1980,1,"CAL","AL",129,412,52,113,14,3,2,38,7,3,48,71,4,1,6,3,3,0.274271844660194,"80s"
"minosmi01",1980,1,"CHA","AL",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"80s"
"molitpa01",1980,1,"ML4","AL",111,450,81,137,29,2,9,37,34,7,48,48,4,3,6,5,9,0.304444444444444,"80s"
"moneydo01",1980,1,"ML4","AL",86,289,39,74,17,1,17,46,0,0,40,36,0,1,6,0,4,0.256055363321799,"80s"
"moorech02",1980,1,"ML4","AL",111,320,42,93,13,2,2,30,10,5,24,28,2,0,8,4,7,0.290625,"80s"
"morrija02",1980,1,"DET","AL",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"morriji01",1980,1,"CHA","AL",162,604,66,171,40,0,15,57,9,6,36,74,2,8,12,6,19,0.283112582781457,"80s"
"mullira01",1980,1,"KCA","AL",36,54,8,14,3,0,0,6,0,0,7,10,0,0,0,1,2,0.259259259259259,"80s"
"murcebo01",1980,1,"NYA","AL",100,297,41,80,9,1,13,57,2,0,34,28,2,2,3,9,9,0.269360269360269,"80s"
"murraed02",1980,1,"BAL","AL",158,621,100,186,36,2,32,116,7,2,54,71,10,2,0,6,18,0.29951690821256,"80s"
"nettlgr01",1980,1,"NYA","AL",89,324,52,79,14,0,16,45,0,0,42,42,5,1,0,2,8,0.243827160493827,"80s"
"oglivbe01",1980,1,"ML4","AL",156,592,94,180,26,2,41,118,11,9,54,71,19,5,0,9,5,0.304054054054054,"80s"
"ojedabo01",1980,1,"BOS","AL",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"oliveal01",1980,1,"TEX","AL",163,656,96,209,43,3,19,117,5,7,39,47,9,5,1,8,14,0.31859756097561,"80s"
"ortajo01",1980,1,"CLE","AL",129,481,78,140,18,3,10,64,6,5,71,44,2,2,2,8,8,0.291060291060291,"80s"
"otisam01",1980,1,"KCA","AL",107,394,56,99,16,3,10,53,16,1,39,70,0,3,2,10,9,0.251269035532995,"80s"
"pacioto01",1980,1,"SEA","AL",126,418,44,114,19,1,15,59,3,2,17,67,1,1,3,2,13,0.272727272727273,"80s"
"palmeji01",1980,1,"BAL","AL",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"parrila02",1980,1,"DET","AL",144,553,79,158,34,6,24,82,6,4,31,109,3,3,2,3,24,0.285714285714286,"80s"
"perezto01",1980,1,"BOS","AL",151,585,73,161,31,3,25,105,1,0,41,93,11,1,0,8,25,0.275213675213675,"80s"
"perryga01",1980,1,"TEX","AL",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"perryga01",1980,2,"NYA","AL",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"petryda01",1980,1,"DET","AL",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"pinielo01",1980,1,"NYA","AL",116,321,39,92,18,0,2,27,0,2,29,20,5,0,2,3,17,0.286604361370716,"80s"
"porteda02",1980,1,"KCA","AL",118,418,51,104,14,2,7,51,1,1,69,50,5,2,0,6,10,0.248803827751196,"80s"
"quirkja01",1980,1,"KCA","AL",62,163,13,45,5,0,5,21,3,2,7,24,2,1,3,3,7,0.276073619631902,"80s"
"randowi01",1980,1,"NYA","AL",138,513,99,151,23,7,7,46,30,5,119,45,4,2,5,3,6,0.294346978557505,"80s"
"renkost01",1980,1,"BOS","AL",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"riceji01",1980,1,"BOS","AL",124,504,81,148,22,6,24,86,8,3,30,87,5,4,1,3,16,0.293650793650794,"80s"
"rivermi01",1980,1,"TEX","AL",147,630,96,210,32,6,7,60,18,7,20,34,1,1,6,4,4,0.333333333333333,"80s"
"roberda05",1980,2,"SEA","AL",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"rodriau01",1980,2,"NYA","AL",52,164,14,36,6,1,3,14,0,0,7,35,1,0,11,0,7,0.219512195121951,"80s"
"rudijo01",1980,1,"CAL","AL",104,372,42,88,17,1,16,53,1,0,17,84,2,5,2,3,10,0.236559139784946,"80s"
"schatda01",1980,1,"DET","AL",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"singlke01",1980,1,"BAL","AL",156,583,85,177,28,3,24,104,0,2,92,94,1,1,0,4,19,0.303602058319039,"80s"
"slatoji01",1980,1,"ML4","AL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"smallro02",1980,1,"MIN","AL",133,486,64,135,24,1,12,63,3,3,65,63,4,2,2,9,15,0.277777777777778,"80s"
"spencji01",1980,1,"NYA","AL",97,259,38,61,9,0,13,43,1,0,30,44,2,1,1,4,7,0.235521235521236,"80s"
"splitpa01",1980,1,"KCA","AL",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
