"date","variable","value","group"
"1954-01-01","log_m1",6.11124558542704,"money"
"1954-04-01","log_m1",6.11589212548303,"money"
"1954-07-01","log_m1",6.12926805125518,"money"
"1954-10-01","log_m1",6.14117682033631,"money"
"1955-01-01","log_m1",6.15188126851389,"money"
"1955-04-01","log_m1",6.1593067826371,"money"
"1955-07-01","log_m1",6.16247234400166,"money"
"1955-10-01","log_m1",6.16184003288354,"money"
"1956-01-01","log_m1",6.16415655492609,"money"
"1956-04-01","log_m1",6.15888394964983,"money"
"1956-07-01","log_m1",6.14996290492866,"money"
"1956-10-01","log_m1",6.14739934872874,"money"
"1957-01-01","log_m1",6.14139203609093,"money"
"1957-04-01","log_m1",6.1338317883949,"money"
"1957-07-01","log_m1",6.1249021853377,"money"
"1957-10-01","log_m1",6.11589212548303,"money"
"1958-01-01","log_m1",6.10367653771491,"money"
"1958-04-01","log_m1",6.10835829857948,"money"
"1958-07-01","log_m1",6.11853762967146,"money"
"1958-10-01","log_m1",6.12796029169652,"money"
"1959-01-01","log_m1",6.14010004624713,"money"
"1959-04-01","log_m1",6.14482920381428,"money"
"1959-07-01","log_m1",6.14868194830602,"money"
"1959-10-01","log_m1",6.13122648948314,"money"
"1960-01-01","log_m1",6.12948584500536,"money"
"1960-04-01","log_m1",6.12183469826984,"money"
"1960-07-01","log_m1",6.13013894179574,"money"
"1960-10-01","log_m1",6.1222734872194,"money"
"1961-01-01","log_m1",6.12686918411419,"money"
"1961-04-01","log_m1",6.13448205394291,"money"
"1961-07-01","log_m1",6.13599769784028,"money"
"1961-10-01","log_m1",6.14289725086819,"money"
"1962-01-01","log_m1",6.14718542210476,"money"
"1962-04-01","log_m1",6.14953610167848,"money"
"1962-07-01","log_m1",6.1452580202874,"money"
"1962-10-01","log_m1",6.14782706473184,"money"
"1963-01-01","log_m1",6.15676709873234,"money"
"1963-04-01","log_m1",6.16289366273551,"money"
"1963-07-01","log_m1",6.16898292039592,"money"
"1963-10-01","log_m1",6.1735777488642,"money"
"1964-01-01","log_m1",6.17773662364629,"money"
"1964-04-01","log_m1",6.1837364347551,"money"
"1964-07-01","log_m1",6.1970549391746,"money"
"1964-10-01","log_m1",6.20576914975499,"money"
"1965-01-01","log_m1",6.21120230528736,"money"
"1965-04-01","log_m1",6.20979654142497,"money"
"1965-07-01","log_m1",6.21800233149021,"money"
"1965-10-01","log_m1",6.23008766927058,"money"
"1966-01-01","log_m1",6.23793392372569,"money"
"1966-04-01","log_m1",6.23793392372569,"money"
"1966-07-01","log_m1",6.22693184811102,"money"
"1966-10-01","log_m1",6.22078895749727,"money"
"1967-01-01","log_m1",6.22870822280097,"money"
"1967-04-01","log_m1",6.23597812415838,"money"
"1967-07-01","log_m1",6.24997524225948,"money"
"1967-10-01","log_m1",6.25632569177406,"money"
"1968-01-01","log_m1",6.25747599864937,"money"
"1968-04-01","log_m1",6.26415987725144,"money"
"1968-07-01","log_m1",6.26966430417027,"money"
"1968-10-01","log_m1",6.28002123697042,"money"
"1969-01-01","log_m1",6.28506656207075,"money"
"1969-04-01","log_m1",6.27814611922618,"money"
"1969-07-01","log_m1",6.26833842084316,"money"
"1969-10-01","log_m1",6.25996380014299,"money"
"1970-01-01","log_m1",6.2565175014994,"money"
"1970-04-01","log_m1",6.25016827382074,"money"
"1970-07-01","log_m1",6.25267429922865,"money"
"1970-10-01","log_m1",6.25613384525069,"money"
"1971-01-01","log_m1",6.26282667069267,"money"
"1971-04-01","log_m1",6.27438530245805,"money"
"1971-07-01","log_m1",6.28058308734572,"money"
"1971-10-01","log_m1",6.28506656207075,"money"
"1972-01-01","log_m1",6.29637240022483,"money"
"1972-04-01","log_m1",6.30591025682898,"money"
"1972-07-01","log_m1",6.31788644787569,"money"
"1972-10-01","log_m1",6.33239113407858,"money"
"1973-01-01","log_m1",6.33717965081037,"money"
"1973-04-01","log_m1",6.32811533921579,"money"
"1973-07-01","log_m1",6.32094813419352,"money"
"1973-10-01","log_m1",6.30718727971528,"money"
"1974-01-01","log_m1",6.29545048626629,"money"
"1974-04-01","log_m1",6.27814611922618,"money"
"1974-07-01","log_m1",6.25919898175007,"money"
"1974-10-01","log_m1",6.23812929346354,"money"
"1975-01-01","log_m1",6.22515231229786,"money"
"1975-04-01","log_m1",6.22811644844698,"money"
"1975-07-01","log_m1",6.22554803846053,"money"
"1975-10-01","log_m1",6.21660610108486,"money"
"1976-01-01","log_m1",6.21899844672348,"money"
"1976-04-01","log_m1",6.22554803846053,"money"
"1976-07-01","log_m1",6.21979462510949,"money"
"1976-10-01","log_m1",6.22515231229786,"money"
"1977-01-01","log_m1",6.23067827859969,"money"
"1977-04-01","log_m1",6.22989072195335,"money"
"1977-07-01","log_m1",6.23323356254536,"money"
"1977-10-01","log_m1",6.24027584517077,"money"
"1978-01-01","log_m1",6.24163943747322,"money"
"1978-04-01","log_m1",6.24241779906146,"money"
"1978-07-01","log_m1",6.23930071101256,"money"
"1978-10-01","log_m1",6.233822317346,"money"
"1979-01-01","log_m1",6.22118641378231,"money"
"1979-04-01","log_m1",6.206777519307,"money"
"1979-07-01","log_m1",6.20899235963656,"money"
"1979-10-01","log_m1",6.18949539760712,"money"
"1980-01-01","log_m1",6.16120732169508,"money"
"1980-04-01","log_m1",6.11191070018385,"money"
"1980-07-01","log_m1",6.14182232869654,"money"
"1980-10-01","log_m1",6.1426823588506,"money"
"1981-01-01","log_m1",6.12095654234074,"money"
"1981-04-01","log_m1",6.11743618666992,"money"
"1981-07-01","log_m1",6.10680014578789,"money"
"1981-10-01","log_m1",6.10278228323993,"money"
"1982-01-01","log_m1",6.11191070018385,"money"
"1982-04-01","log_m1",6.10278228323993,"money"
"1982-07-01","log_m1",6.10724558009369,"money"
"1982-10-01","log_m1",6.14182232869654,"money"
"1983-01-01","log_m1",6.16499759786886,"money"
"1983-04-01","log_m1",6.18270454940918,"money"
"1983-07-01","log_m1",6.20172547259118,"money"
"1983-10-01","log_m1",6.20738205333045,"money"
"1984-01-01","log_m1",6.20959555659865,"money"
"1984-04-01","log_m1",6.21540777859276,"money"
"1984-07-01","log_m1",6.21760360740199,"money"
"1984-10-01","log_m1",6.21899844672348,"money"
"1985-01-01","log_m1",6.2363695902037,"money"
"1985-04-01","log_m1",6.25036126812801,"money"
"1985-07-01","log_m1",6.28020855550614,"money"
"1985-10-01","log_m1",6.29747757624449,"money"
"1986-01-01","log_m1",6.31608106735283,"money"
