"county","var2","coef","se","Uppm"
"AITKIN","floor",-0.952860068145578,1.49455589769819,0.502054
"AITKIN","intercept",3.92672151468506,1.64583257603822,0.502054
"ANOKA","floor",-0.563707361841078,0.871600155907674,0.428565
"ANOKA","intercept",3.22076190279161,0.564673472970246,0.428565
"BECKER","floor",-2.08677905702388,1.73794066610848,0.892741
"BECKER","intercept",5.3957926899017,1.99203871392551,0.892741
"BELTRAMI","floor",-2.28334545913695,1.49365348518863,0.552472
"BELTRAMI","intercept",5.61276308356199,1.62803602095736,0.552472
"BENTON","floor",-1.71766523532834,1.49455589769819,0.866849
"BENTON","intercept",4.94408444058026,1.64583257603822,0.866849
"BIGSTONE","floor",-2.04253792796619,1.49491213183281,1.47264
"BIGSTONE","intercept",5.38287335540522,1.65280807844317,1.47264
"BLUEEARTH","floor",-2.95105796520493,1.11965426709887,1.31208
"BLUEEARTH","intercept",7.13631052717355,1.04693491125036,1.31208
"BROWN","floor",-3.15696620167669,1.59712451986487,1.31993
"BROWN","intercept",6.79575054446976,1.79019044736659,1.31993
"CARLTON","floor",-0.510732151865395,1.1945846356008,0.717261
"CARLTON","intercept",3.51513864594482,1.17092434080515,0.717261
"CARVER","floor",-3.27130370781014,1.29538512897496,1.10061
"CARVER","floor",-3.27130370781014,1.29538512897496,1.10061
"CARVER","intercept",7.60513780897709,1.33396707346403,1.10061
"CARVER","intercept",7.60513780897709,1.33396707346403,1.10061
"CASS","floor",-1.73273654562845,1.35521695006798,0.544319
"CASS","intercept",4.97958740058904,1.43425336618425,0.544319
"CHIPPEWA","floor",-2.9426925680526,1.41691228785344,1.3148
"CHIPPEWA","intercept",6.55465548487846,1.53195975448515,1.3148
"CHISAGO","floor",-1.29538875320492,1.30506049308023,0.479352
"CHISAGO","intercept",4.41026708083013,1.35313565475627,0.479352
"CLAY","floor",-5.52627506639794,1.1579615294044,1.41027
"CLAY","intercept",9.7644401027847,1.11977991032141,1.41027
"CLEARWATER","floor",-1.64982402922918,1.59712451986487,0.941896
"CLEARWATER","intercept",4.83867777996779,1.79019044736659,0.941896
"COOK","floor",-1.24130142752247,1.59718164122366,0.603508
"COOK","intercept",4.33985855451334,1.80766234611403,0.603508
"COTTONWOOD","floor",-2.57741647669908,1.73780117672132,1.40433
"COTTONWOOD","intercept",6.21056571091337,1.98145709426661,1.40433
"CROWWING","floor",-0.739531621785855,1.18846160254396,0.530789
"CROWWING","intercept",3.74436387015566,1.16646128927515,0.530789
"DAKOTA","floor",-1.90687210318617,0.84389008197737,0.976144
"DAKOTA","intercept",4.94160693983072,0.517153486187578,0.976144
"DODGE","floor",-2.48346015832681,1.49491213183281,1.30194
"DODGE","intercept",5.95684672288624,1.65280807844317,1.30194
"DOUGLAS","floor",-2.31972983481787,1.22522888006683,1.16849
"DOUGLAS","intercept",5.75651779434316,1.22230647638073,1.16849
"FARIBAULT","floor",-1.0849069413477,1.35382182346893,1.34316
"FARIBAULT","intercept",4.05500299102602,1.42968811615171,1.34316
"FILLMORE","floor",-1.88156027244117,1.73809355220183,1.51424
"FILLMORE","intercept",5.13657987433515,2.00357337759789,1.51424
"FREEBORN","floor",-5.23459840865374,1.25865493585184,1.25133
"FREEBORN","intercept",9.50236700046078,1.27807558242186,1.25133
"GOODHUE","floor",-4.00168230214824,1.11965426709887,1.21727
"GOODHUE","intercept",8.32507702138454,1.04693491125036,1.21727
"HENNEPIN","floor",-1.89745424280379,0.748706156716533,0.907991
"HENNEPIN","intercept",4.85607146954061,0.413305407923368,0.907991
"HOUSTON","floor",-2.50935521030801,1.41528140453097,1.65455
"HOUSTON","intercept",5.99222309552891,1.52128142963231,1.65455
"HUBBARD","floor",-1.5475398398927,1.59709954844989,0.66992
"HUBBARD","intercept",4.64199452373445,1.78249875834406,0.66992
"ISANTI","floor",-1.28667124734797,1.49491213183281,0.471483
"ISANTI","intercept",4.39891901115205,1.65280807844317,0.471483
"ITASCA","floor",-0.698649458445889,1.1488993271594,0.515124
"ITASCA","intercept",3.63345784115773,1.08701172726696,0.515124
"JACKSON","floor",-3.85768730846429,1.35521695006798,1.36209
"JACKSON","intercept",7.74575581101078,1.43425336618425,1.36209
"KANABEC","floor",-1.60065246044819,1.41691228785344,0.948014
"KANABEC","intercept",4.80764608771951,1.53195975448515,0.948014
"KANDIYOHI","floor",-3.58124390957405,1.41691228785344,1.11598
"KANDIYOHI","intercept",7.38589382707506,1.53195975448515,1.11598
"KITTSON","floor",-2.57090396550111,1.73794066610848,0.992227
"KITTSON","intercept",5.99974540766596,1.99203871392551,0.992227
"KOOCHICHING","floor",-0.726565451788457,1.49365348518863,0.414025
"KOOCHICHING","intercept",3.47945796274667,1.62803602095736,0.414025
"LACQUIPARLE","floor",-5.41454811512544,1.59712451986487,1.36483
"LACQUIPARLE","floor",-5.41454811512544,1.59712451986487,1.36483
"LACQUIPARLE","intercept",10.3881074040314,1.79019044736659,1.36483
"LACQUIPARLE","intercept",10.3881074040314,1.79019044736659,1.36483
"LAKE","floor",-0.307290946363973,1.22522888006683,0.500776
"LAKE","intercept",3.0536247611116,1.22230647638073,0.500776
"LAKEOFTHEWOODS","floor",-2.64236489130383,1.59712451986487,0.505752
"LAKEOFTHEWOODS","intercept",6.17067859695431,1.79019044736659,0.505752
"LESUEUR","floor",-2.46873816606777,1.41606200216783,1.21464
"LESUEUR","intercept",5.97160524425649,1.52640023450532,1.21464
"LINCOLN","floor",-4.71831865955151,1.49455589769819,1.56034
"LINCOLN","intercept",8.83602998300521,1.64583257603822,1.56034
"LYON","floor",-2.86788064047777,1.26093266254686,1.48399
"LYON","intercept",6.61088992536543,1.28110643299566,1.48399
"MAHNOMEN","floor",-2.01737044533192,1.73826186230602,1.16137
"MAHNOMEN","intercept",5.35011142197584,2.01619657543322,1.16137
"MARSHALL","floor",-9.06453227086998,1.41328144392102,1.01386
"MARSHALL","intercept",13.6824713982765,1.50810032927553,1.01386
"MARTIN","floor",-1.96807241004262,1.30311917183408,1.18041
"MARTIN","intercept",5.15518083133372,1.34930000719159,1.18041
"MCLEOD","floor",-1.76308385001212,1.18571895282169,1.15076
"MCLEOD","intercept",5.63317281223423,1.16446410143077,1.15076
"MEEKER","floor",-1.39122660160126,1.35521695006798,1.02424
"MEEKER","intercept",4.53502462034269,1.43425336618425,1.02424
"MILLELACS","floor",-2.33783439758266,1.73809355220183,0.810536
"MILLELACS","intercept",5.63134336780551,2.00357337759789,0.810536
"MORRISON","floor",-0.878424691273773,1.22522888006683,0.910987
"MORRISON","intercept",3.86798921183098,1.22230647638073,0.910987
"MOWER","floor",-3.90468490802162,1.14066452533603,1.29814
"MOWER","intercept",7.56727278242538,1.08317712529876,1.29814
"MURRAY","floor",-3.55456449731219,1.73826186230602,1.49011
"MURRAY","intercept",7.35116372946617,2.01619657543322,1.49011
"NICOLLET","floor",-4.05745168969174,1.41691228785344,1.28152
"NICOLLET","intercept",8.00580038735727,1.53195975448515,1.28152
"NOBLES","floor",-2.86139349863592,1.49491213183281,1.49998
"NOBLES","intercept",6.44882389501283,1.65280807844317,1.49998
"NORMAN","floor",-2.08926267082298,1.59715177471945,1.30372
"NORMAN","intercept",5.36228706770919,1.79854807382799,1.30372
"OLMSTED","floor",-1.87040378349331,1.00447123827747,1.27526
"OLMSTED","intercept",4.88427220489996,0.846576919673456,1.27526
"OTTERTAIL","floor",-1.99606898350314,1.35135352288169,0.814867
"OTTERTAIL","intercept",5.56955598632522,1.42158682503904,0.814867
"PENNINGTON","floor",-2.3576575049469,1.73794066610848,0.928646
"PENNINGTON","intercept",5.66577454489367,1.99203871392551,0.928646
"PINE","floor",-0.733823406190929,1.35382182346893,0.849343
"PINE","intercept",3.59825343886244,1.42968811615171,0.849343
"PIPESTONE","floor",-3.09574563461881,1.49455589769819,1.61382
"PIPESTONE","intercept",6.78367698860204,1.64583257603822,1.61382
