"date","variable","value","group"
"1909-01-01","cpi",3.3322045,"price"
"1910-01-01","cpi",3.3672958,"price"
"1911-01-01","cpi",3.3672958,"price"
"1912-01-01","cpi",3.4011974,"price"
"1913-01-01","cpi",3.391147,"price"
"1914-01-01","cpi",3.4045252,"price"
"1915-01-01","cpi",3.4144426,"price"
"1916-01-01","cpi",3.4873751,"price"
"1917-01-01","cpi",3.6480575,"price"
"1918-01-01","cpi",3.8088822,"price"
"1919-01-01","cpi",3.9473901,"price"
"1920-01-01","cpi",4.0943446,"price"
"1921-01-01","cpi",3.9815491,"price"
"1922-01-01","cpi",3.916015,"price"
"1923-01-01","cpi",3.9337845,"price"
"1924-01-01","cpi",3.9357395,"price"
"1925-01-01","cpi",3.9608132,"price"
"1926-01-01","cpi",3.9702919,"price"
"1927-01-01","cpi",3.9512437,"price"
"1928-01-01","cpi",3.9376908,"price"
"1929-01-01","cpi",3.9376908,"price"
"1930-01-01","cpi",3.912023,"price"
"1931-01-01","cpi",3.8199077,"price"
"1932-01-01","cpi",3.7111301,"price"
"1933-01-01","cpi",3.6584202,"price"
"1934-01-01","cpi",3.6913763,"price"
"1935-01-01","cpi",3.7160081,"price"
"1936-01-01","cpi",3.7256934,"price"
"1937-01-01","cpi",3.7612001,"price"
"1938-01-01","cpi",3.7424202,"price"
"1939-01-01","cpi",3.7281002,"price"
"1940-01-01","cpi",3.7376696,"price"
"1941-01-01","cpi",3.7864598,"price"
"1942-01-01","cpi",3.8877303,"price"
"1943-01-01","cpi",3.9473901,"price"
"1944-01-01","cpi",3.9646155,"price"
"1945-01-01","cpi",3.9871305,"price"
"1946-01-01","cpi",4.0690268,"price"
"1947-01-01","cpi",4.203199,"price"
"1948-01-01","cpi",4.278054,"price"
"1949-01-01","cpi",4.2682979,"price"
"1950-01-01","cpi",4.278054,"price"
"1951-01-01","cpi",4.3541414,"price"
"1952-01-01","cpi",4.375757,"price"
"1953-01-01","cpi",4.3832759,"price"
"1954-01-01","cpi",4.3882572,"price"
"1955-01-01","cpi",4.3845235,"price"
"1956-01-01","cpi",4.3993753,"price"
"1957-01-01","cpi",4.4343819,"price"
"1958-01-01","cpi",4.4612998,"price"
"1959-01-01","cpi",4.4693505,"price"
"1960-01-01","cpi",4.4852599,"price"
"1961-01-01","cpi",4.4953553,"price"
"1962-01-01","cpi",4.5064542,"price"
"1963-01-01","cpi",4.5185224,"price"
"1964-01-01","cpi",4.5315236,"price"
"1965-01-01","cpi",4.5485998,"price"
"1966-01-01","cpi",4.5767707,"price"
"1967-01-01","cpi",4.6051702,"price"
"1968-01-01","cpi",4.6463121,"price"
"1969-01-01","cpi",4.6986605,"price"
"1970-01-01","cpi",4.7561731,"price"
"1971-01-01","cpi",4.7986642,"price"
"1972-01-01","cpi",4.8302586,"price"
"1973-01-01","cpi",4.8906017,"price"
"1974-01-01","cpi",4.9952863,"price"
"1975-01-01","cpi",5.0826357,"price"
"1976-01-01","cpi",5.1386576,"price"
"1977-01-01","cpi",5.2016571,"price"
"1978-01-01","cpi",5.2748217,"price"
"1979-01-01","cpi",5.3823272,"price"
"1980-01-01","cpi",5.5089477,"price"
"1981-01-01","cpi",5.6071222,"price"
"1982-01-01","cpi",5.6669052,"price"
"1983-01-01","cpi",5.6985244,"price"
"1984-01-01","cpi",5.7407911,"price"
"1985-01-01","cpi",5.7757829,"price"
"1986-01-01","cpi",5.7941996,"price"
"1987-01-01","cpi",5.8300457,"price"
"1988-01-01","cpi",5.870586,"price"
"1909-01-01","ip",2.3025851,"price"
"1910-01-01","ip",2.360854,"price"
"1911-01-01","ip",2.3223877,"price"
"1912-01-01","ip",2.4595888,"price"
"1913-01-01","ip",2.5257286,"price"
"1914-01-01","ip",2.4595888,"price"
"1915-01-01","ip",2.6100698,"price"
"1916-01-01","ip",2.7788193,"price"
"1917-01-01","ip",2.7850112,"price"
"1918-01-01","ip",2.7725887,"price"
"1919-01-01","ip",2.6461748,"price"
"1920-01-01","ip",2.6946272,"price"
"1921-01-01","ip",2.4336134,"price"
"1922-01-01","ip",2.6741486,"price"
"1923-01-01","ip",2.8507065,"price"
"1924-01-01","ip",2.7850112,"price"
"1925-01-01","ip",2.8791985,"price"
"1926-01-01","ip",2.9391619,"price"
"1927-01-01","ip",2.9391619,"price"
"1928-01-01","ip",2.9755296,"price"
"1929-01-01","ip",3.08191,"price"
"1930-01-01","ip",2.8959119,"price"
"1931-01-01","ip",2.7080502,"price"
"1932-01-01","ip",2.4595888,"price"
"1933-01-01","ip",2.6246686,"price"
"1934-01-01","ip",2.7146947,"price"
"1935-01-01","ip",2.8564702,"price"
"1936-01-01","ip",3.0252911,"price"
"1937-01-01","ip",3.1135153,"price"
"1938-01-01","ip",2.8791985,"price"
"1939-01-01","ip",3.08191,"price"
"1940-01-01","ip",3.2386785,"price"
"1941-01-01","ip",3.4594663,"price"
"1942-01-01","ip",3.6000482,"price"
"1943-01-01","ip",3.7999735,"price"
"1944-01-01","ip",3.8774316,"price"
"1945-01-01","ip",3.7208625,"price"
"1946-01-01","ip",3.5610461,"price"
"1947-01-01","ip",3.6737658,"price"
"1948-01-01","ip",3.7135721,"price"
"1949-01-01","ip",3.6584202,"price"
"1950-01-01","ip",3.8044378,"price"
"1951-01-01","ip",3.885679,"price"
"1952-01-01","ip",3.9239516,"price"
"1953-01-01","ip",4.0036902,"price"
"1954-01-01","ip",3.9473901,"price"
"1955-01-01","ip",4.0673159,"price"
"1956-01-01","ip",4.1108739,"price"
"1957-01-01","ip",4.1239034,"price"
"1958-01-01","ip",4.0569888,"price"
"1959-01-01","ip",4.1697612,"price"
"1960-01-01","ip",4.1926805,"price"
"1961-01-01","ip",4.1987046,"price"
"1962-01-01","ip",4.278054,"price"
"1963-01-01","ip",4.3372907,"price"
"1964-01-01","ip",4.4042772,"price"
"1965-01-01","ip",4.490881,"price"
"1966-01-01","ip",4.5849675,"price"
"1967-01-01","ip",4.6051702,"price"
"1968-01-01","ip",4.6615505,"price"
"1969-01-01","ip",4.7068238,"price"
"1970-01-01","ip",4.6700212,"price"
"1971-01-01","ip",4.6841389,"price"
"1972-01-01","ip",4.7764753,"price"
"1973-01-01","ip",4.8546659,"price"
"1974-01-01","ip",4.8397243,"price"
"1975-01-01","ip",4.7474204,"price"
"1976-01-01","ip",4.835414,"price"
"1977-01-01","ip",4.912295,"price"
"1978-01-01","ip",4.9752698,"price"
"1979-01-01","ip",5.0139487,"price"
"1980-01-01","ip",4.9947962,"price"
"1981-01-01","ip",5.016655,"price"
"1982-01-01","ip",4.9428242,"price"
"1983-01-01","ip",5.0003059,"price"
"1984-01-01","ip",5.1062157,"price"
"1985-01-01","ip",5.1249841,"price"
"1986-01-01","ip",5.1362383,"price"
"1987-01-01","ip",5.1731196,"price"
"1988-01-01","ip",5.2285646,"price"
"1909-01-01","gnp.nom",10.416311,"rates"
"1910-01-01","gnp.nom",10.471638,"rates"
"1911-01-01","gnp.nom",10.485703,"rates"
"1912-01-01","gnp.nom",10.581521,"rates"
"1913-01-01","gnp.nom",10.586584,"rates"
"1914-01-01","gnp.nom",10.561008,"rates"
"1915-01-01","gnp.nom",10.596635,"rates"
"1916-01-01","gnp.nom",10.785187,"rates"
"1917-01-01","gnp.nom",11.008744,"rates"
"1918-01-01","gnp.nom",11.243738,"rates"
"1919-01-01","gnp.nom",11.338572,"rates"
"1920-01-01","gnp.nom",11.424094,"rates"
"1921-01-01","gnp.nom",11.15052,"rates"
"1922-01-01","gnp.nom",11.213171,"rates"
"1923-01-01","gnp.nom",11.351582,"rates"
"1924-01-01","gnp.nom",11.346871,"rates"
"1925-01-01","gnp.nom",11.441429,"rates"
"1926-01-01","gnp.nom",11.482466,"rates"
"1927-01-01","gnp.nom",11.460579,"rates"
"1928-01-01","gnp.nom",11.482466,"rates"
"1929-01-01","gnp.nom",11.543406,"rates"
"1930-01-01","gnp.nom",11.411634,"rates"
"1931-01-01","gnp.nom",11.236117,"rates"
"1932-01-01","gnp.nom",10.969043,"rates"
"1933-01-01","gnp.nom",10.925956,"rates"
"1934-01-01","gnp.nom",11.082973,"rates"
"1935-01-01","gnp.nom",11.187846,"rates"
"1936-01-01","gnp.nom",11.320323,"rates"
"1937-01-01","gnp.nom",11.412508,"rates"
"1938-01-01","gnp.nom",11.346517,"rates"
"1939-01-01","gnp.nom",11.413039,"rates"
"1940-01-01","gnp.nom",11.5097,"rates"
"1941-01-01","gnp.nom",11.732382,"rates"
"1942-01-01","gnp.nom",11.969781,"rates"
"1943-01-01","gnp.nom",12.163123,"rates"
"1944-01-01","gnp.nom",12.255358,"rates"
"1945-01-01","gnp.nom",12.264082,"rates"
"1946-01-01","gnp.nom",12.247737,"rates"
"1947-01-01","gnp.nom",12.35157,"rates"
"1948-01-01","gnp.nom",12.459016,"rates"
"1949-01-01","gnp.nom",12.454822,"rates"
"1950-01-01","gnp.nom",12.559434,"rates"
"1951-01-01","gnp.nom",12.702,"rates"
"1952-01-01","gnp.nom",12.752742,"rates"
"1953-01-01","gnp.nom",12.806537,"rates"
"1954-01-01","gnp.nom",12.807217,"rates"
"1955-01-01","gnp.nom",12.894107,"rates"
"1956-01-01","gnp.nom",12.946194,"rates"
"1957-01-01","gnp.nom",12.997104,"rates"
"1958-01-01","gnp.nom",13.011061,"rates"
"1959-01-01","gnp.nom",13.089144,"rates"
"1960-01-01","gnp.nom",13.129804,"rates"
"1961-01-01","gnp.nom",13.161771,"rates"
"1962-01-01","gnp.nom",13.236272,"rates"
"1963-01-01","gnp.nom",13.28873,"rates"
"1964-01-01","gnp.nom",13.357293,"rates"
"1965-01-01","gnp.nom",13.437005,"rates"
"1966-01-01","gnp.nom",13.527638,"rates"
"1967-01-01","gnp.nom",13.584747,"rates"
"1968-01-01","gnp.nom",13.669562,"rates"
"1969-01-01","gnp.nom",13.741966,"rates"
"1970-01-01","gnp.nom",13.789296,"rates"
"1971-01-01","gnp.nom",13.913272,"rates"
"1972-01-01","gnp.nom",14.008442,"rates"
"1973-01-01","gnp.nom",14.12248,"rates"
"1974-01-01","gnp.nom",14.202676,"rates"
"1975-01-01","gnp.nom",14.284514,"rates"
"1976-01-01","gnp.nom",14.393696,"rates"
"1977-01-01","gnp.nom",14.503896,"rates"
"1978-01-01","gnp.nom",14.626307,"rates"
"1979-01-01","gnp.nom",14.735076,"rates"
"1980-01-01","gnp.nom",14.820544,"rates"
"1981-01-01","gnp.nom",14.931504,"rates"
"1982-01-01","gnp.nom",14.96798,"rates"
"1983-01-01","gnp.nom",15.040961,"rates"
"1984-01-01","gnp.nom",15.143169,"rates"
"1985-01-01","gnp.nom",15.205523,"rates"
"1986-01-01","gnp.nom",15.258091,"rates"
"1987-01-01","gnp.nom",15.324973,"rates"
"1988-01-01","gnp.nom",15.400779,"rates"
"1909-01-01","vel",0.78390154,"employment"
"1910-01-01","vel",0.77472717,"employment"
"1911-01-01","vel",0.72754861,"employment"
"1912-01-01","vel",0.75141609,"employment"
"1913-01-01","vel",0.76546784,"employment"
"1914-01-01","vel",0.63127178,"employment"
"1915-01-01","vel",0.62593843,"employment"
"1916-01-01","vel",0.73716407,"employment"
"1917-01-01","vel",0.76546784,"employment"
"1918-01-01","vel",0.90421815,"employment"
"1919-01-01","vel",0.81093022,"employment"
"1920-01-01","vel",0.77932488,"employment"
"1921-01-01","vel",0.63127178,"employment"
"1922-01-01","vel",0.62593843,"employment"
"1923-01-01","vel",0.70309751,"employment"
"1924-01-01","vel",0.66782937,"employment"
"1925-01-01","vel",0.62593843,"employment"
"1926-01-01","vel",0.66268797,"employment"
"1927-01-01","vel",0.62057649,"employment"
"1928-01-01","vel",0.60431597,"employment"
"1929-01-01","vel",0.66268797,"employment"
"1930-01-01","vel",0.51879379,"employment"
"1931-01-01","vel",0.37156356,"employment"
"1932-01-01","vel",0.21511138,"employment"
"1933-01-01","vel",0.27763174,"employment"
"1934-01-01","vel",0.3852624,"employment"
"1935-01-01","vel",0.39877612,"employment"
"1936-01-01","vel",0.45107562,"employment"
"1937-01-01","vel",0.49469624,"employment"
"1938-01-01","vel",0.41210965,"employment"
"1939-01-01","vel",0.40546511,"employment"
"1940-01-01","vel",0.39204209,"employment"
"1941-01-01","vel",0.45742485,"employment"
"1942-01-01","vel",0.5988365,"employment"
"1943-01-01","vel",0.55961579,"employment"
"1944-01-01","vel",0.47623418,"employment"
"1945-01-01","vel",0.31481074,"employment"
"1946-01-01","vel",0.14842001,"employment"
"1947-01-01","vel",0.18232156,"employment"
"1948-01-01","vel",0.28517894,"employment"
"1949-01-01","vel",0.26236426,"employment"
"1950-01-01","vel",0.3435897,"employment"
"1951-01-01","vel",0.45107562,"employment"
"1952-01-01","vel",0.44468582,"employment"
"1953-01-01","vel",0.45107562,"employment"
"1954-01-01","vel",0.41210965,"employment"
"1955-01-01","vel",0.46373402,"employment"
"1956-01-01","vel",0.5068176,"employment"
"1957-01-01","vel",0.51879379,"employment"
"1958-01-01","vel",0.47623418,"employment"
"1959-01-01","vel",0.51879379,"employment"
"1960-01-01","vel",0.54232429,"employment"
"1961-01-01","vel",0.52472853,"employment"
"1962-01-01","vel",0.53649337,"employment"
"1963-01-01","vel",0.52472853,"employment"
"1964-01-01","vel",0.53649337,"employment"
"1965-01-01","vel",0.54232429,"employment"
"1966-01-01","vel",0.56531381,"employment"
"1967-01-01","vel",0.54232429,"employment"
"1968-01-01","vel",0.54232429,"employment"
"1969-01-01","vel",0.54812141,"employment"
"1970-01-01","vel",0.54812141,"employment"
