"cpi","ip","gnp.nom","vel","emp","int.rate","nom.wages","gnp.def","money.stock","gnp.real","stock.prices","gnp.capita","real.wages","unemp","date","decade"
3.3672958,2.360854,10.471638,0.77472717,10.484641,3.8,6.4785096,3.3978585,2.590767,4.7883247,2.2353763,7.1701195,3.1112906,1.7749524,"1910-01-01",1910-01-01
3.3672958,2.3223877,10.485703,0.72754861,10.496234,3.9,6.4488894,3.391147,2.6475922,4.8138091,2.2235419,7.179308,3.0814511,1.9021075,"1911-01-01",1910-01-01
3.4011974,2.4595888,10.581521,0.75141609,10.530308,3.9,6.4785096,3.4307562,2.7166795,4.8690717,2.2544447,7.219642,3.0773123,1.5260563,"1912-01-01",1910-01-01
3.391147,2.5257286,10.586584,0.76546784,10.553153,4,6.5352413,3.4372078,2.7555697,4.8782461,2.1412419,7.2086003,3.1441523,1.458615,"1913-01-01",1910-01-01
3.4045252,2.4595888,10.561008,0.63127178,10.533668,4.1,6.5453497,3.4468079,2.7966714,4.8331023,2.0893919,7.1444072,3.140698,2.0668628,"1914-01-01",1910-01-01
3.4144426,2.6100698,10.596635,0.62593843,10.53239,4.15,6.4937538,3.4812401,2.8673306,4.8243057,2.1174596,7.1212525,3.0791539,2.1400662,"1915-01-01",1910-01-01
3.4873751,2.7788193,10.785187,0.73716407,10.580607,4.05,6.6214057,3.5973123,3.0373539,4.9000761,2.2481289,7.1831117,3.134189,1.6292405,"1916-01-01",1910-01-01
3.6480575,2.7850112,11.008744,0.76546784,10.598733,4.05,6.7833252,3.8066625,3.1933529,4.9067552,2.1400662,7.1770188,3.1350593,1.5260563,"1917-01-01",1910-01-01
3.8088822,2.7725887,11.243738,0.90421815,10.662235,4.75,7.0094089,3.9627161,3.2857865,5.0225639,2.0202222,7.2936977,3.2007119,0.33647224,"1918-01-01",1910-01-01
3.9473901,2.6461748,11.338572,0.81093022,10.643948,4.75,7.1647204,3.9852735,3.4343097,4.9863426,2.1724764,7.2449415,3.2172745,0.33647224,"1919-01-01",1910-01-01
